"response","k","n_studies","n_locations","sigma2_location","sigma2_study","sigma2_within","Q","Q_p","I2_location","I2_study","I2_within","I2_total","loo_min","loo_max","loo_most_influential"
"Abundance",417,68,44,2.40343298883034e-09,0.170373561807595,0.134835162878275,2851.1,0,0,53.9,42.7,96.6,0.098,0.157,"#1624"
"Richness",115,35,31,0.203442318481175,9.41185080066437e-12,0.00834646367633691,718.5,2.04e-88,91.9,0,3.8,95.6,0.159,0.238,"#1624"
"Diversity",46,17,16,0.229721292890557,1.0611915203713e-09,0.0262214569143802,322.4,1.35e-43,89.4,0,10.2,99.6,0.008,0.15,"#1624"
