"plant_measure","response","k","n_studies"
"Plant biomass - above-ground","Abundance",143,14
"Plant biomass - above-ground","Richness",45,8
"Plant biomass - above-ground","Diversity",5,3
"Plant biomass - below-ground","Abundance",10,2
"Plant biomass - below-ground","Richness",26,3
"Plant biomass - below-ground","Diversity",1,1
